denovo PCR - quantification of viral infectivity in macrophages (Tropism assay)					
monocyte donor #010		2.2.17	viruses from batch 39		
					
donor #10	denovo	denovo total	rnasep	rnasep total	denovo/100k rnasep
PL67 12-3	154.97	1549.7	" 5,812 "	" 29,060 "	" 5,333 "
PL67 14-1	170	1700	" 5,813 "	" 29,065 "	" 5,849 "
PL67 15-3	316	3160	" 6,098 "	" 30,490 "	" 10,364 "
PL67 17-1	185	1850	" 7,354 "	" 36,770 "	" 5,031 "
PL67 18-1	344	3440	" 6,871 "	" 34,355 "	" 10,013 "
OZ7 7-2	0.86	8.6	" 5,153 "	" 25,765 "	 33 
OZ7 9-2	18.49	184.9	" 5,709 "	" 28,545 "	 648 
OZ7 10-2	153.46	1534.6	" 4,781 "	" 23,905 "	" 6,420 "
OZ 11	138.39	1383.9	" 5,354 "	" 26,770 "	" 5,170 "
OZ7 12-2	171.41	1714.1	" 6,101 "	" 30,505 "	" 5,619 "
OZ7 14-1	726.14	7261.4	" 6,209 "	" 31,045 "	" 23,390 "
OZ7 18-1	2095.25	20952.5	" 6,814 "	" 34,070 "	" 61,498 "
OZ7 21-2	116.28	1162.8	" 6,912 "	" 34,560 "	" 3,365 "
OZ7 23-1	5058.08	50580.8	" 5,825 "	" 29,125 "	" 173,668 "
OZ724-1	734.67	7346.7	" 5,812 "	" 29,060 "	" 25,281 "
OZ725-2	2805.6	28056	" 5,643 "	" 28,215 "	" 99,436 "
OZ7 27-2	1246.69	12466.9	" 5,809 "	" 29,045 "	" 42,923 "
OZ7 29-2	7.48	74.8	" 5,723 "	" 28,615 "	 261 
OZ7 35-2	1493.96	14939.6	" 5,765 "	" 28,825 "	" 51,829 "
OZ7 38-1	1469.26	14692.6	" 5,476 "	" 27,380 "	" 53,662 "
OZ7 39-2	4018.52	40185.2	" 6,154 "	" 30,770 "	" 130,599 "
OZ7 41-2	6243.23	62432.3	" 6,894 "	" 34,470 "	" 181,121 "
OZ7 42-1	3966.92	39669.2	" 6,565 "	" 32,825 "	" 120,851 "
OZ7 43-2	2685.17	26851.7	" 6,786 "	" 33,930 "	" 79,139 "
OZ7 44-1	31.25	312.5	" 6,309 "	" 31,545 "	 991 
OZ7 45-1	175.78	1757.8	" 6,578 "	" 32,890 "	" 5,344 "
OZ7 46-1	3611.34	36113.4	" 5,897 "	" 29,485 "	" 122,481 "
OZ7 47-2	5764.01	57640.1	" 5,079 "	" 25,395 "	" 226,974 "
CTRL	365	3650	" 5,786 "	" 28,930 "	" 12,617 "
ADA-1	11148.27	111482.7	" 7,865 "	" 39,325 "	" 283,491 "
5002M-1	16198	161980	" 6,897 "	" 34,485 "	" 469,711 "
4013T-1	422	4220	" 5,709 "	" 28,545 "	" 14,784 "
YU2-1	19465	194650	" 5,798 "	" 28,990 "	" 671,438 "
					
					
donor #11	denovo	denovo total	rnasep	rnasep total	denovo/100k rnasep
OZ7 9-2	 23 	 234 	" 5,812 "	" 29,060 "	805 
OZ7 10-2	 425 	" 4,254 "	" 5,709 "	" 28,545 "	"14,902 "
OZ 11	 229 	" 2,294 "	" 6,101 "	" 30,505 "	"7,519 "
OZ7 12-2	 300 	" 3,000 "	" 5,812 "	" 29,060 "	"10,325 "
OZ7 14-1	 251 	" 2,506 "	" 5,723 "	" 28,615 "	"8,757 "
OZ7 18-1	" 2,315 "	" 23,148 "	" 6,154 "	" 30,770 "	"75,228 "
OZ7 21-2	 116 	" 1,160 "	" 5,079 "	" 25,395 "	"4,567 "
OZ7 23-1	" 7,098 "	" 70,981 "	" 5,643 "	" 28,215 "	"251,572 "
OZ724-1	" 1,053 "	" 10,527 "	" 6,154 "	" 30,770 "	"34,211 "
OZ725-2	" 7,734 "	" 77,342 "	" 6,786 "	" 33,930 "	"227,946 "
OZ7 27-2	" 3,415 "	" 34,148 "	" 5,079 "	" 25,395 "	"134,468 "
OZ7 29-2	 14 	 142 	" 5,798 "	" 28,990 "	489 
OZ7 35-2	" 2,572 "	" 25,717 "	" 5,809 "	" 29,045 "	"88,540 "
OZ7 38-1	" 6,307 "	" 63,072 "	" 5,476 "	" 27,380 "	"230,357 "
OZ7 39-2	" 8,916 "	" 89,157 "	" 6,154 "	" 30,770 "	"289,753 "
OZ7 41-2	" 11,019 "	" 110,186 "	" 6,309 "	" 31,545 "	"349,297 "
OZ7 42-1	" 5,598 "	" 55,977 "	" 6,897 "	" 34,485 "	"162,324 "
OZ7 43-2	" 10,190 "	" 101,897 "	" 5,812 "	" 29,060 "	"350,643 "
OZ7 44-1	 53 	 527 	" 7,354 "	" 36,770 "	"1,433 "
OZ7 45-1		 -   	" 4,781 "	" 23,905 "	0 
OZ7 46-1	" 6,159 "	" 61,585 "	" 6,209 "	" 31,045 "	"198,374 "
OZ7 47-2	" 6,474 "	" 64,740 "	" 5,765 "	" 28,825 "	"224,596 "
CTRL	 798 	" 7,982 "	" 5,813 "	" 29,065 "	"27,463 "
ADA-1	" 35,841 "	" 358,406 "	" 5,709 "	" 28,545 "	"1,255,583 "
