denovo PCR - quantification of viral infectivity in macrophages (Tropism assay)					
monocyte donor #009 		1.23.17	viruses from batch 37		
					
donor #9	denovo	denovo total	rnasep	rnasep total	denovo/100k rnasep
126G-59-LB	126	1260	" 1,399 "	6995	" 18,013 "
126G-59-1TB	43	430	" 1,322 "	6610	" 6,505 "
126G-60-LB	70	700	" 1,374 "	6870	" 10,189 "
126G-60-1TB	32	320	" 1,159 "	5795	" 5,522 "
126G-61-2TB	210	2100	" 1,168 "	5840	" 35,959 "
126G-62-LB	81	810	" 1,089 "	5445	" 14,876 "
126G-63-2TB	39	390	" 1,479 "	7395	" 5,274 "
126G-64-LB	12	120	" 1,399 "	6995	" 1,716 "
126G-64-1TB	19	190	" 1,322 "	6610	" 2,874 "
126G-66-2TB	54	540	" 1,374 "	6870	" 7,860 "
126G-67-1TB	95	950	" 1,159 "	5795	" 16,393 "
126G-68-LB	228	2280	" 1,168 "	5840	" 39,041 "
126G-69-2TB	69	690	" 1,089 "	5445	" 12,672 "
126G-70-LB	253	2530	" 1,479 "	7395	" 34,212 "
126G-70-2TB	69	690	" 1,399 "	6995	" 9,864 "
126G-71-LB	69	690	" 1,322 "	6610	" 10,439 "
126G-71-2TB	26	260	" 1,374 "	6870	" 3,785 "
126G-72-1TB	14	140	" 1,159 "	5795	" 2,416 "
ADA-1	1366	13660	" 1,168 "	5840	" 233,904 "
5002M-1	1786	17860	" 1,089 "	5445	" 328,007 "
4013T-1	130	1300	" 1,479 "	7395	" 17,579 "
YU2-1	1438	14380	" 1,399 "	6995	" 205,575 "
HIV CTL	119	1190	" 1,322 "	6610	" 18,003 "
