Genes	N_G005	N_G006	N_G010	N_G012	N_G014	N_G016	N_G022	N_G036	N_G038	N_G039	N_G043	N_G044	N_G046	N_G055	N_G059	N_G061	N_G064	N_G066	N_G076	N_G079	N_G080	N_G084	N_G085	N_G091	N_G102	N_G116	N_G117
15E1.2	1.4374	1.2806	1.4893	1.3729	1.3653	1.4892	1.2995	1.548	1.4854	1.3806	1.2719	1.2721	1.3183	1.4046	1.4369	1.2875	1.3728	1.0681	1.4139	1.6309	1.3767	1.3863	1.3425	1.1699	1.324	1.253	1.2088
2-PDE	0.371525	0.473825	0.322425	0.314125	0.515325	0.182725	0.366325	0.435125	0.206325	0.325625	0.280925	0.393525	0.326725	0.546325	0.511225	0.332825	0.506925	0.362425	0.289125	0.730725	0.371725	0.414125	0.311225	0.380625	0.149025	0.370925	0.477625
7A5	1.6798	1.5144	1.4715	1.4502	1.8082	1.5017	1.9246	1.5441	1.6317	1.6304	1.6767	1.5178	1.3462	1.1319	1.648	1.1487	1.2327	1.7412	1.7246	1.5646	1.5315	1.8502	1.3017	1.8426	1.61	1.5349	1.7299
A1BG	0.020825	-0.824475	-0.717675	-0.338775	-0.074675	-0.688775	-0.751675	0.051225	0.177025	-0.557475	-0.594675	-0.560375	0.253325	-0.684975	0.292525	0.333825	0.775525	-0.184675	-0.365775	0.106625	0.131925	-0.588775	-0.281775	0.190225	-0.822475	0.499325	0.534625
A2BP1	-3.9354	-3.7751	-3.8296	-4.2254	-3.0849	-5.2543	-3.8635	-3.447	-5.9555	-3.3312	-3.1619	-3.9275	-5.4115	-5.9489	-6.2566	-4.213	-4.5387	-4.3137	-4.6026	-4.4698	-4.1598	-4.922	-4.0698	-3.34	-4.4817	-5.9827	-4.8781
A2M	-2.9238	-0.8039	-3.2527	-3.1492	-1.7592	-1.5389	-1.9663	-2.0916	-3.2721	-3.2047	-1.7207	-1.6209	-3.5246	-2.8139	-3.5141	-2.5603	-2.463	-2.904	-2.5569	-2.9338	-3.2502	-1.5436	-2.8012	-3.2665	-2.0791	-2.2215	-1.1283
A2ML1	-0.3836	-0.6071	-0.5435	-0.3851	-0.3239	-0.4521	-0.5547	-0.3004	-0.4484	-0.3998	-0.3839	-0.4484	-0.5351	-0.3854	-0.565	-0.2916	-0.6016	-0.4697	-0.6181	-0.4671	-0.6816	-0.5874	-0.5448	-0.4478	-0.565	-0.6107	-0.6584
A3GALT2	1.1288	0.3628	1.2897	1.569	0.7783	1.1632	1.4428	0.8213	1.0692	0.8793	0.6851	0.8245	0.4184	1.3007	0.3764	1.2529	0.2874	0.6503	0.9571	1.315	0.5873	0.877	1.2333	0.6644	1.2481	0.9745	0.7425
A4GALT	-0.0520875	-0.1673875	0.3438125	0.2648125	0.8578125	0.5405125	0.4341125	-0.1388875	-0.3274875	1.0420125	1.1460125	0.8434125	1.1674125	0.3844125	0.3644125	0.2268125	-0.2189875	0.5609125	-0.2513875	-0.4353875	0.8002125	0.7327125	0.0866125	0.9728125	0.4440125	1.3871125	0.6282125
A4GNT	-0.4401	-0.4612	-0.4318	-0.4333	-0.5092	-0.4137	-0.4292	-0.4212	-0.1794	-0.2657	-0.4023	0.0164	-0.4454	-0.4384	-0.4412	-0.2303	-0.4704	-0.4383	-0.4518	-0.4402	-0.3215	-0.4548	-0.4374	-0.2953	-0.4531	-0.4527	-0.6081
